Top 10?,WA Water Resilence?,CFDA #,CFDA Name,Department/Ind. Agency,Awarding Sub Agency,Sub-Tier,WP Category,Types of Assistance,Total $,Total $ Rank,Per Capita $,Per Capita $ Rank,Unique from WP CFDA list?,Title,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
,,47.083,Integrative Activities,NATIONAL SCIENCE FOUNDATION,National Science Foundation,,,B - Project Grants,3673787,45,0.482,42,FALSE,Integrative Activities,"47.076, 47.041, 47.070, 47.074, 47.049, 47.079, 47.078, 47.075, 47.050",3-Aug-20,3-Aug-20,TRUE,"Erika Rissi

2415 Eisenhower Avenue, Alexandria VA 22314

703-292-8040"
,,59.007,7(j) Technical Assistance,SBA,NULL,,,Technical Assistance,0,47,0,47,FALSE,Technical Assistance,,,,,
,,59.011,Small Business Investment Companies,SMALL BUSINESS ADMINISTRATION,NULL,,Capital Projects,F - Guaranteed/Insured Loans,0,48,0,48,TRUE,Small Business Investment Companies,"59.044, 59.052, 59.037, 59.037, 59.043, 59.006, 59.006",28-Aug-20,28-Aug-20,TRUE,"Arthur Spivey, Director of SBIC Licensing

409 3rd Street, SW

6th Floor, Washington, DC DC 20416

202-205-7098"
,y,59.058,Federal and State Technology Partnership Program,SMALL BUSINESS ADMINISTRATION,NULL,,Capital Projects,B - Cooperative Agreements,0,50,0,50,TRUE,Federal and State Technology Partnership Program,N/A,3-Sep-20,3-Sep-20,TRUE,"Office of Innovation and Technology

409 3rd Street, SW

6th Floor, Washington, DC DC 20416

202-710-5163"
,,59.059,Congressional Grants,SBA,NULL,,,Capital Projects,0,48,0,48,FALSE,CONGRESSIONAL EARMARK PROGRAM,,,,,
,y,59.065,NULL,SMALL BUSINESS ADMINISTRATION,NULL,,Capital Projects,C - Direct Payments for Specified Use,0,48,0,48,TRUE,Growth Accelerator Fund Competition,N/A,14-Sep-20,14-Sep-20,FALSE,"Office of Innovation and Technology

409 3rd St., SW

6th Floor, Washington DC 20416

202-710-5163"
,,59.077,NULL,SMALL BUSINESS ADMINISTRATION,NULL,,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Community Navigator Pilot Program,N/A,21-May-21,21-May-21,TRUE,"John Bienko

409 Third Street SW, Washington DC 20416

(202) 205-6052"
,,64.005,Grants to States for Construction of State Home Facilities,UNDER SECRETARY FOR HEALTH/VETERANS HEALTH ADMINISTRATION,Under Secretary for Health/Veterans Health Administration,,,Capital Projects,501410,44,0.066,45,FALSE,GRANTS TO STATES FOR CONSTRUCTION OF STATE HOME FACILITIES,,,,,
,y,66.001,Air Pollution Control Program Support,,Environmental Protection Agency,,Capital Projects,,4763260,25,0.626,25,TRUE,Air Pollution Control Program Support,,,,,
,y,66.034,"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,Research & Innovation,B - Project Grants (Discretionary),18586406,11,2.441,22,TRUE,"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",N/A,22-Sep-20,22-Sep-20,TRUE,"Tim Roberts

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W.  (Mail Code: 6102), Washington DC 20460

202-564-6004"
,,66.035,Community Action for a Renewed Environment (CARE) Program,EPA,Environmental Protection Agency,,,Technical Assistance,100000,26,0.013,29,FALSE,COMMUNITY ACTION FOR A RENEWED ENVIRONMENT (CARE) PROGRAM,,,,,
,y,66.038,"Training, Investigations, and Special Purpose Activities of Federally-Recognized Indian Tribes Consistent With the Clean Air Act (CAA), Tribal Sovereignty and the Protection and Management of Air Quality",,Environmental Protection Agency,,Technical Assistance,,424444,22,0.056,25,TRUE,"Training, Investigations, and Special Purpose Activities of Federally-Recognized Indian Tribes Consistent With the Clean Air Act (CAA), Tribal Sovereignty and the Protection and Management of Air Quality",,,,,
,y,66.039,Diesel Emission Reduction Act (DERA) National Grants,,Environmental Protection Agency,,Capital Projects,,23298693,4,3.06,9,TRUE,National Clean Diesel Emissions Reduction Program,,,,,
,,66.041,Climate Showcase Communities Grant Program,EPA,Environmental Protection Agency,,,Technical Assistance,1203676,3,0.158,11,FALSE,CLIMATE SHOWCASE COMMUNITIES GRANT PROGRAM,,,,,
,,66.042,Temporally Integrated Monitoring of Ecosystems (TIME) and Long-Term Monitoring (LTM) Program,ENVIRONMENTAL PROTECTION AGENCY,NULL,,Data & Monitoring,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,TRUE,Temporally Integrated Monitoring of Ecosystems (TIME) and Long-Term Monitoring (LTM) Program,N/A,22-Sep-20,22-Sep-20,TRUE,"Scott M Riley, Project Officer

US Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W.,( Mail Code: 7355T), Washington DC 20460

202-564-6716"
,,66.110,Healthy Communities Grant Program,ENVIRONMENTAL PROTECTION AGENCY,NULL,,,B - Project Grants (Discretionary),0,48,0,48,FALSE,Healthy Communities Grant Program,N/A,18-Sep-20,18-Sep-20,TRUE,"Sandra Brownell

US EPA Region I

1 Congress Street, CPT, Suite 100, Boston MA 02114

617-918-1797"
,,66.112,"Surveys, Studies, Investigations, Training, Demonstrations, and Special Purpose Grants for Regional Geographic Initiatives ",EPA,NULL,,,Data & Monitoring,0,48,0,48,FALSE,"SURVEYS, STUDIES, INVESTIGATIONS, TRAINING, DEMONSTRATIONS, AND SPECIAL PURPOSE GRANTS FOR REGIONAL GEOGRAPHIC INITIATIVES",,,,,
,y,66.121,Puget Sound Protection and Restoration: Tribal Implementation Assistance Program,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,Conservation,B - Cooperative Agreements (Discretionary Grants),73325114,1,9.629,1,TRUE,Puget Sound Protection and Restoration: Tribal Implementation Assistance Program,66.456,22-Sep-20,22-Sep-20,TRUE,"Peter Murchie

Environmental Protection Agency, Region 10, 1200 Sixth Avenue,, Seattle WA 98101

206-553-1148 or 1-800-424-4EPA, extension 31148"
,y,66.123,Puget Sound Action Agenda: Technical Investigations and Implementation Assistance Program,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Cooperative Agreements (Discretionary Grants),177581011,1,23.32,1,FALSE,Puget Sound Action Agenda: Technical Investigations and Implementation Assistance Program,"66.456, 66.121",22-Sep-20,22-Sep-20,TRUE,"Peter Murchie

Environmental Protection Agency, Region 10,  1200 Sixth Avenue, Suite 155, Seattle WA 98101

206-553-1148 or 1-800-424-4EPA, ext. 31148"
,,66.202,Congressionally Mandated Projects,EPA,Environmental Protection Agency,,,Capital Projects,21001901,14,2.758,26,FALSE,CONGRESSIONALLY MANDATED PROJECTS,,,,,
,y,66.203,Environmental Finance Center Grants,ENVIRONMENTAL PROTECTION AGENCY,NULL,,,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,FALSE,Environmental Finance Center Grants,"66.814, 66.611, 66.611",1-Sep-20,1-Sep-20,TRUE,"Sonia Brubaker, Supervisory Program Analyst

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code:  4202M), Washington DC 20460

202-564-0120"
,,66.204,Multipurpose Grants to States and Tribes,EPA,Environmental Protection Agency,,,Capital Projects,761227,14,0.1,23,FALSE,MULTIPURPOSE GRANTS TO STATES AND TRIBES,,,,,
,,66.305,Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers,ENVIRONMENTAL PROTECTION AGENCY,NULL,,,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,FALSE,Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers,N/A,23-Sep-20,23-Sep-20,TRUE,"Catherine S. Tunis

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 2201A), Washington DC 20460

202-564-0476"
,y,66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Cooperative Agreements (Discretionary Grants),339984,8,0.045,15,FALSE,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,"66.604, 66.309",26-Apr-21,26-Apr-21,TRUE,"Jacob Burney, EJ Grants Program Manager

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 2202A), Washington DC 20460

202-564-2907"
,,66.309,"Surveys, Studies, Investigations, Training and Special Purpose Activities Relating to Environmental Justice",EPA,NULL,,,Technical Assistance,0,48,0,48,FALSE,"SURVEYS, STUDIES, INVESTIGATIONS, TRAINING AND SPECIAL PURPOSE ACTIVITIES RELATING TO ENVIRONMENTAL JUSTICE",,,,,
,,66.310,Capacity Building Grants and Cooperative Agreements for Compliance Assurance and Enforcement Activities in Indian Country and Other Tribal Areas,EPA,NULL,,,Technical Assistance,0,48,0,48,FALSE,CAPACITY BUILDING GRANTS AND COOPERATIVE AGREEMENTS FOR COMPLIANCE ASSURANCE AND ENFORCEMENT ACTIVITIES IN INDIAN COUNTRY AND OTHER TRIBAL AREAS,,,,,
,,66.312,State Environmental Justice Cooperative Agreement Program,EPA,NULL,,,Education,0,48,0,48,FALSE,STATE ENVIRONMENTAL JUSTICE COOPERATIVE AGREEMENT PROGRAM,,,,,
,y,66.418,Construction Grants for Wastewater Treatment Works,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,Capital Projects,B - Project Grants,718700,3,0.094,5,TRUE,Construction Grants for Wastewater Treatment Works,"66.458, 66.458",1-Sep-20,1-Sep-20,TRUE,"Yasmin Laguer

Caribbean Environmental Protection Division, City View Plaza II – Suite 7000, #48 Rd. 165 km 1.2, Guaynabo PR 009688069

787-977-5848"
,,66.418,Construction Grants for Wastewater Treatment Works,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,"66.458, 66.458",Capital Projects,B - Project Grants,718700,3,0.094,5,TRUE,Construction Grants for Wastewater Treatment Works,1-Sep-20,1-Sep-20,TRUE,"Yasmin Laguer

Caribbean Environmental Protection Division, City View Plaza II – Suite 7000, #48 Rd. 165 km 1.2, Guaynabo PR 009688069

787-977-5848",
,y,66.419,"Water Pollution Control State, Interstate, and Tribal Program Support",ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,A - Formula Grants,7334229,24,0.963,31,FALSE,"Water Pollution Control State, Interstate, and Tribal Program Support","66.454, 66.454",1-Sep-20,1-Sep-20,TRUE,"Robyn Delehanty

Environmental Protection Agency, Office of Wastewater Management, 1200 Pennsylvania Avenue, N.W., (Mail Code: 4201M), Washington DC 20460

202- 564-3880"
,y,66.424,"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act",ENVIRONMENTAL PROTECTION AGENCY,NULL,,,B - Cooperative Agreements (Discretionary Grants),0,49,0,49,FALSE,"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act","66.510, 66.716, 66.436",1-Sep-20,1-Sep-20,TRUE,"Joe A. Jackson

Environmental Protection Agency, Office of Ground Water and Drinking Water, 1200 Pennsylvania Avenue (Mail Code: 4606M), Washington DC 20460

(202) 564-3817"
,y,66.432,State Public Water System Supervision,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,A - Formula Grants,35849998,6,4.708,11,FALSE,State Public Water System Supervision,66.433,1-Sep-20,1-Sep-20,TRUE,"Kevin Roland,

Environmental Protection Agency, Office of Ground Water and Drinking Water, 1200 Pennsylvania Avenue, N.W., (Mail Code: 4606M), Washington DC 20460

(202) 564-4588."
,y,66.433,State Underground Water Source Protection,ENVIRONMENTAL PROTECTION AGENCY,NULL,,,A - Formula Grants,0,51,0,51,FALSE,State Underground Water Source Protection,66.432,1-Sep-20,1-Sep-20,TRUE,"Colin Dyroff

Environmental Protection Agency,  Office of Ground Water and Drinking Water, Office of Water, 1200 Pennsylvania Avenue, NW., ( Mail Code: 4606M), Washington DC 20460

202-564-3149"
,y,66.436,"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act",ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Project Grants (Discretionary),383653,20,0.05,26,FALSE,"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act",66.424,1-Sep-20,1-Sep-20,TRUE,"Tracey Miller

Environmental Protection Agency, Office of Water, Immediate Office, 1200 Pennsylvania Avenue, N.W., (Mail Code: 3903R), Washington DC 20460

202-564-0783"
,,66.439,Targeted Watersheds Grants,EPA,Environmental Protection Agency,,,Capital Projects,5099117,2,0.67,1,FALSE,TARGETED WATERSHEDS GRANTS,,,,,
,y,66.440,Urban Waters Small Grants,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Project Grants,223531,13,0.029,21,FALSE,Urban Waters Small Grants,66.436,1-Sep-20,1-Sep-20,TRUE,"Chris Orvin

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4601M), Washington DC 20460

202-564-0430"
,y,66.441,Healthy Watersheds Consortium Grant Program,ENVIRONMENTAL PROTECTION AGENCY,NULL,,,B - Project Grants (Discretionary),0,48,0,48,FALSE,Healthy Watersheds Consortium Grant Program,"66.454, 66.454, 66.460, 66.460",1-Sep-20,1-Sep-20,TRUE,"Chris Solloway

Environmental Protection Agency,  Nonpoint Source Management Branch, Office of Oceans, Wetlands, and Watersheds, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4503T), Washington DC 20460

202- 566-1202"
,,66.442,Assistance for Small and Disadvantaged Communities Drinking Water Grant Program (SDWA 1459A),ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,A - Formula Grants,916000,3,0.12,12,FALSE,Assistance for Small and Disadvantaged Communities Drinking Water Grant Program (SDWA 1459A),N/A,1-Sep-20,1-Sep-20,TRUE,"Catherine Davis, Associate Branch Chief

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 1305A), Washington DC 20460

202-564-2703"
,y,66.443,NULL,ENVIRONMENTAL PROTECTION AGENCY,NULL,,Capital Projects,B - Project Grants (Discretionary),0,48,0,48,TRUE,Reducing Lead in Drinking Water (SDWA 1459B),66.444,3-Sep-20,3-Sep-20,TRUE,"Yvonne Gonzalez

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 7405M), Washington DC 20460

202-564-2912"
,y,66.444,Lead Testing in School and Child Care Program Drinking Water (SDWA 1464(d)),ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,Data & Monitoring,A - Formula Grants,723000,28,0.095,47,TRUE,Lead Testing in School and Child Care Program Drinking Water (SDWA 1464(d)),66.442,3-Sep-20,3-Sep-20,TRUE,"Victoria Ellenbogen

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4606M), Washington DC 20460

202-564-2053"
,y,66.445,NULL,ENVIRONMENTAL PROTECTION AGENCY,NULL,,Capital Projects,B - Project Grants (Discretionary),0,48,0,48,TRUE,Innovative Water Infrastructure Workforce Development Program (SDWA 1459E),N/A,3-Sep-20,3-Sep-20,TRUE,"Hana Abate

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 7309M), Washington DC 20460

202-564-2844"
,,66.446,NULL,ENVIRONMENTAL PROTECTION AGENCY,NULL,,Capital Projects,B - Project Grants (Discretionary),0,48,0,48,TRUE,Technical Assistance for Treatment Works (CWA 104(b)(8)),N/A,21-Dec-20,21-Dec-20,TRUE,"Matthew Richardson

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4204M), Washington DC 20459

202-564-2947"
,y,66.454,Water Quality Management Planning,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,A - Formula Grants,3725332,19,0.489,40,FALSE,Water Quality Management Planning,66.419,3-Sep-20,3-Sep-20,TRUE,"Chris Solloway

Environmental Protection Agency,  Office of Water, Office of Wetlands, Oceans, and Watersheds, Nonpoint Source Management Branch, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4503T), Washington DC 20460

202-566-1202"
,y,66.456,National Estuary Program,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Project Grants (Discretionary),27967205,2,3.673,4,FALSE,National Estuary Program,"66.419, 66.461, 66.458, 66.454",3-Sep-20,3-Sep-20,TRUE,"Robert Benson

Environmental Protection Agency, Office of Wetlands, Oceans, and Watersheds, Oceans, Wetlands, and Communities Division, 1200 Pennsylvania Avenue (Mail Code: 4504T), Washington DC 20460

202-566-2954"
,y,66.458,Capitalization Grants for Clean Water State Revolving Funds,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,A - Formula Grants,355199663,17,46.645,35,FALSE,Capitalization Grants for Clean Water State Revolving Funds,N/A,3-Sep-20,3-Sep-20,TRUE,"Kelly Tucker

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4204M), Washington DC 20460

(202) 564-0608"
,y,66.460,Nonpoint Source Implementation Grants,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,A - Formula Grants,38759610,17,5.09,27,FALSE,Nonpoint Source Implementation Grants,66.419,3-Sep-20,3-Sep-20,TRUE,"Cynthia Curtis

Environmental Protection Agency, Office of Wetlands, Oceans, and Watersheds, 1200 Pennsylvania Avenue,  N.W, (Mail Code 4503T), Washington DC 20460

202-566-0340"
,y,66.461,Regional Wetland Program Development Grants,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Cooperative Agreements (Discretionary Grants),2783723,26,0.366,33,FALSE,Regional Wetland Program Development Grants,"66.454, 66.458, 66.419, 66.462",3-Sep-20,3-Sep-20,TRUE,"Myra Price, National Wetland Program Development Grant Coordinator

Environmental Protection Agency, Wetlands Division, Office of Oceans, Wetlands, and Watersheds, Office of Water, 1200 Pennsylvania Avenue, N.W.(Mail Code: 4502-T), Washington DC 20460

(202) 566-1225."
,y,66.462,National Wetland Program Development Grants and Five-Star Restoration Training Grant,ENVIRONMENTAL PROTECTION AGENCY,NULL,,,B - Cooperative Agreements (Discretionary Grants),0,49,0,49,FALSE,National Wetland Program Development Grants and Five-Star Restoration Training Grant,"66.461, 66.458, 66.419, 66.454",3-Sep-20,3-Sep-20,TRUE,"Myra Price, National Wetland Program Development Grant Coordinator

Environmental Protection Agency, Wetlands Division, Office of Oceans, Wetlands, and Watersheds, Office of Water,  1200 Pennsylvania Avenue, N.W. ( Mail Code: 4502-T), Washington DC 20460

202-566-1225"
,,66.467,Wastewater Operator Training Grant Program,EPA,NULL,,,Technical Assistance,0,48,0,48,FALSE,WASTEWATER OPERATOR TRAINING GRANT PROGRAM,,,,,
,y,66.468,Capitalization Grants for Drinking Water State Revolving Funds,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,A - Formula Grants,312341000,11,41.017,27,FALSE,Capitalization Grants for Drinking Water State Revolving Funds,66.458,3-Sep-20,3-Sep-20,TRUE,"Felecia Fort

Drinking Water Protection Division, Office of Groundwater and Drinking Water, U.S. Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4606M), Washington DC 20460

202-564-6239"
,,66.471,State Grants to Reimburse Operators of Small Water Systems for Training and Certification Costs,EPA,NULL,,,Capital Projects,0,43,0,43,FALSE,STATE GRANTS TO REIMBURSE OPERATORS OF SMALL WATER SYSTEMS FOR TRAINING AND CERTIFICATION COSTS,,,,,
,y,66.472,Beach Monitoring and Notification Program Implementation Grants,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,A - Formula Grants,4423582,5,0.581,11,FALSE,Beach Monitoring and Notification Program Implementation Grants,N/A,3-Sep-20,3-Sep-20,TRUE,"Lisa Larimer, Fish and Beach Team Leader

Environmental Protection Agency, Office of Water, Standards and Health Protection Division, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4305-T), Washington DC 20460

202-566-1017"
,,66.473,Direct Implementation Tribal Cooperative Agreements,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Cooperative Agreements (Discretionary Grants),2977477,2,0.391,2,FALSE,Direct Implementation Tribal Cooperative Agreements,N/A,22-Sep-20,22-Sep-20,TRUE,"David B. Jones

David B. Jones, American Indian Environmental Office (2690M), U.S. Environmental Protection Agency, 1200 Pennsylvania Ave. NW., Washington, DC 20460., Washington DC 20460

(202) 564-4368"
,,66.480,Assessment and Watershed Protection Program Grants,EPA,NULL,,,Capital Projects,0,49,0,49,FALSE,ASSESSMENT AND WATERSHED PROTECTION PROGRAM GRANTS,,,,,
,,66.508,Senior Environmental Employment Program,EPA,Environmental Protection Agency,,,Technical Assistance,67224298,4,8.828,4,FALSE,SENIOR ENVIRONMENTAL EMPLOYMENT PROGRAM,,,,,
,y,66.509,Science To Achieve Results (STAR) Research Program,,Environmental Protection Agency,,Research & Innovation,,32763063,4,4.302,3,TRUE,Science To Achieve Results (STAR) Research Program,,,,,
,,66.510,"Surveys, Studies, Investigations and Special Purpose Grants within the Office of Research and Development",EPA,Environmental Protection Agency,,,Data & Monitoring,204500,8,0.027,9,FALSE,"SURVEYS, STUDIES, INVESTIGATIONS AND SPECIAL PURPOSE GRANTS WITHIN THE OFFICE OF RESEARCH AND DEVELOPMENT",,,,,
,,66.511,Office of Research and Development Consolidated Research/Training/Fellowships,EPA,Environmental Protection Agency,,,Technical Assistance,200000,26,0.026,26,FALSE,OFFICE OF RESEARCH AND DEVELOPMENT CONSOLIDATED RESEARCH/TRAINING/FELLOWSHIPS,,,,,
,,66.512,Regional Environmental Monitoring and Assessment Program (REMAP) Research Projects,EPA,NULL,,,Data & Monitoring,0,48,0,48,FALSE,REGIONAL ENVIRONMENTAL MONITORING AND ASSESSMENT PROGRAM (REMAP) RESEARCH PROJECTS,,,,,
,,66.514,Science To Achieve Results (STAR) Fellowship Program,,Environmental Protection Agency,,,,2829933,6,0.372,11,FALSE,Science To Achieve Results (STAR) Fellowship Program,,,,,
,,66.517,Regional Applied Research Efforts (RARE),EPA,Environmental Protection Agency,,,RESEARCH & INNOVATION,77265,9,0.01,10,FALSE,REGIONAL APPLIED RESEARCH EFFORTS (RARE),,,,,
,y,66.521,NULL,ENVIRONMENTAL PROTECTION AGENCY,NULL,,Capital Projects,B - Project Grants (Discretionary),0,48,0,48,TRUE,Innovative Water Technology Grant Program,N/A,1-Sep-20,1-Sep-20,FALSE,"Ron Josephson, Eligibility Contact

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 8725R), Washington DC 20460

202-564-7823"
,,66.600,Environmental Protection Consolidated Grants for the Insular Areas - Program Support,ENVIRONMENTAL PROTECTION AGENCY,NULL,,Conservation,A - Formula Grants (Cooperative Agreements),0,48,0,48,TRUE,Environmental Protection Consolidated Grants for the Insular Areas - Program Support,N/A,4-Sep-20,4-Sep-20,TRUE,"Alba Espitia

Grants Management Office (PMD-7), EPA Region 9, 75 Hawthorne St., San Francisco CA 94105

415-972-3667"
,y,66.604,Environmental Justice Small Grant Program,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Project Grants (Discretionary),359872,10,0.047,18,FALSE,Environmental Justice Small Grant Program,N/A,26-Apr-21,26-Apr-21,TRUE,"Jacob Burney, EJ Grants Program Manager

Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 2201A), Washington DC 20460

202-564-2907"
,,66.605,Performance Partnership Grants,EPA,Environmental Protection Agency,,,Technical Assistance,227337075,4,29.854,19,FALSE,PERFORMANCE PARTNERSHIP GRANTS,,,,,
,,66.608,Environmental Information Exchange Network Grant Program and Related Assistance,EPA,Environmental Protection Agency,,,Data & Monitoring,7149391,4,0.939,15,FALSE,ENVIRONMENTAL INFORMATION EXCHANGE NETWORK GRANT PROGRAM AND RELATED ASSISTANCE,,,,,
,,66.609,Protection of Children from Environmental Health Risks,EPA,Environmental Protection Agency,,,Education,79937,14,0.01,10,FALSE,PROTECTION OF CHILDREN FROM ENVIRONMENTAL HEALTH RISKS,,,,,
,y,66.611,Environmental Policy and Innovation Grants,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Project Grants (Discretionary),375114,9,0.049,8,FALSE,Environmental Policy and Innovation Grants,N/A,23-Sep-20,23-Sep-20,FALSE,"John V. Thomas

Office of Policy, Office of the Administrator, U.S. Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 1807T), Washington DC 20460

202-566-1285"
,,66.700,Consolidated Pesticide Enforcement Cooperative Agreements,EPA,Environmental Protection Agency,,,Data & Monitoring,8970901,3,1.178,15,FALSE,CONSOLIDATED PESTICIDE COMPLIANCE MONITORING,,,,,
,,66.708,Pollution Prevention Grants Program,EPA,Environmental Protection Agency,,,Capital Projects,3165010,1,0.416,13,FALSE,POLLUTION PREVENTION GRANTS PROGRAM,,,,,
,,66.709,Multi-Media Capacity Building Grants for States and Tribes,EPA,Environmental Protection Agency,,,Data & Monitoring,37500,27,0.005,26,FALSE,MULTI-MEDIA CAPACITY BUILDING GRANTS FOR STATES AND TRIBES,,,,,
,y,66.716,"Research, Development, Monitoring, Public Education, Outreach, Training, Demonstrations, and Studies ",ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Cooperative Agreements (Discretionary Grants),3402812,5,0.447,8,FALSE,"Research, Development, Monitoring, Public Education, Outreach, Training, Demonstrations, and Studies","66.034, 66.610, 66.424, 66.436, 66.510",23-Sep-20,23-Sep-20,TRUE,"Edna Kapust

Office of Chemical Safety and Pollution Prevention, U.S. Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 7401M), Washington DC 20460

202-564-8818"
,,66.717,Source Reduction Assistance,EPA,Environmental Protection Agency,,,Capital Projects,855902,3,0.112,9,FALSE,SOURCE REDUCTION ASSISTANCE,,,,,
,,66.802,"Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements ",EPA,Environmental Protection Agency,,,Technical Assistance,48129695,9,6.32,11,FALSE,"SUPERFUND STATE, POLITICAL SUBDIVISION, AND INDIAN TRIBE SITE-SPECIFIC COOPERATIVE AGREEMENTS",,,,,
,,66.804,"Underground Storage Tank (UST) Prevention, Detection, and Compliance Program",EPA,Environmental Protection Agency,,,Capital Projects,6585556,25,0.865,44,FALSE,"UNDERGROUND STORAGE TANK PREVENTION, DETECTION AND COMPLIANCE PROGRAM",,,,,
,,66.805,Leaking Underground Storage Tank Trust Fund Corrective Action Program,EPA,Environmental Protection Agency,,,Capital Projects,15721209,26,2.065,46,FALSE,LEAKING UNDERGROUND STORAGE TANK TRUST FUND CORRECTIVE ACTION PROGRAM,,,,,
,y,66.806,Superfund Technical Assistance Grants (TAG) for Community Groups at National Priority List (NPL) Sites,ENVIRONMENTAL PROTECTION AGENCY,Environmental Protection Agency,,,B - Project Grants (Discretionary),414000,4,0.054,9,FALSE,Superfund Technical Assistance Grants (TAG) for Community Groups at National Priority List (NPL) Sites,N/A,23-Sep-20,23-Sep-20,TRUE,"Freya Margand,

Community Involvement and Program Initiatives Branch, Office of Superfund Remediation & Technology Innovation, Mail code: 5204P, Environmental Protection Agency, Ariel Rios Bldg., 1200 Pennsylvania Ave.; NW, Washington DC 20460

(703) 603-8889"
,y,66.808,Solid Waste Management Assistance Grants,,Environmental Protection Agency,,,,626354,6,0.082,9,FALSE,Solid Waste Management Assistance Grants,,,,,
,,66.810,Chemical Emergency Preparedness and Prevention (CEPP) Technical Assistance Grants Program,EPA,NULL,,,Technical Assistance,0,48,0,48,FALSE,CHEMICAL EMERGENCY PREPAREDNESS AND PREVENTION (CEPP) TECHNICAL ASSISTANCE GRANTS PROGRAM,,,,,
